pokedex_number,variant,name,hp,attack,defense,sp_attack,sp_defense,speed,abilities,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fight,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,classification,type1,type2,height_m,weight_kg,percentage_male,is_legendary,generation
205,,Forretress,75,90,140,60,60,40,"['Sturdy', 'Overcoat']",0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,Bagworm Pokemon,bug,steel,1.2,125.8,50,0,2
206,,Dunsparce,100,70,70,65,65,45,"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Land Snake Pokemon,normal,,1.5,14,50,0,2
207,,Gligar,65,75,105,35,65,85,"['Hyper Cutter', 'Sand Veil', 'Immunity']",1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,Flyscorpion Pokemon,ground,flying,1.1,64.8,50,0,2
208,,Steelix,75,85,200,55,65,30,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,Iron Snake Pokemon,steel,ground,9.2,400,50,0,2
208,mega,Steelix,75,125,230,55,95,30,['Sand Force'],0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,Iron Snake Pokemon,steel,ground,10.5,740,50,0,6
209,,Snubbull,60,80,50,40,40,30,"['Intimidate', 'Run Away', 'Rattled']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Fairy Pokemon,fairy,,0.6,7.8,24.6,0,2
210,,Granbull,90,120,75,60,60,45,"['Intimidate', 'Quick Feet', 'Rattled']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Fairy Pokemon,fairy,,1.4,48.7,24.6,0,2
211,,Qwilfish,65,95,85,55,55,85,"['Poison Point', 'Swift Swim', 'Intimidate']",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,Balloon Pokemon,water,poison,0.5,3.9,50,0,2
212,,Scizor,70,130,100,55,80,65,"['Swarm', 'Technician', 'Light Metal']",0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,Pincer Pokemon,bug,steel,1.8,118,50,0,2
212,mega,Scizor,70,150,140,65,100,75,['Technician'],0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,Pincer Pokemon,bug,steel,2,125,50,0,6
213,,Shuckle,20,10,230,10,230,5,"['Sturdy', 'Gluttony', 'Contrary']",0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,Mold Pokemon,bug,rock,0.6,20.5,50,0,2
214,,Heracross,80,125,75,40,95,85,"['Swarm', 'Guts', 'Moxie']",1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,Singlehorn Pokemon,bug,fighting,1.5,54,50,0,2
214,mega,Heracross,80,185,115,40,105,75,['Skill Link'],1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,Singlehorn Pokemon,bug,fighting,1.7,62.5,50,0,6
215,,Sneasel,55,95,55,35,75,115,"['Inner Focus', 'Keen Eye', 'Pickpocket']",1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,Sharp Claw Pokemon,dark,ice,0.9,28,50,0,2
216,,Teddiursa,60,80,50,50,50,40,"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Little Bear Pokemon,normal,,0.6,8.8,50,0,2
217,,Ursaring,90,130,75,75,75,55,"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Hibernator Pokemon,normal,,1.8,125.8,50,0,2
218,,Slugma,40,40,40,70,40,20,"['Magma Armor', 'Flame Body', 'Weak Armor']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Lava Pokemon,fire,,0.7,35,50,0,2
219,,Magcargo,60,50,120,90,80,30,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,Lava Pokemon,fire,rock,0.8,55,50,0,2
220,,Swinub,50,50,40,30,30,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,Pig Pokemon,ice,ground,0.4,6.5,50,0,2
221,,Piloswine,100,100,80,60,60,50,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,Swine Pokemon,ice,ground,1.1,55.8,50,0,2
222,,Corsola,65,55,95,65,95,35,"['Hustle', 'Natural Cure', 'Regenerator']",0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1,Coral Pokemon,water,rock,0.6,5,24.6,0,2
223,,Remoraid,35,65,35,65,35,65,"['Hustle', 'Sniper', 'Moody']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Jet Pokemon,water,,0.6,12,50,0,2
224,,Octillery,75,105,75,105,75,45,"['Suction Cups', 'Sniper', 'Moody']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Jet Pokemon,water,,0.9,28.5,50,0,2
225,,Delibird,45,55,45,65,45,75,"['Vital Spirit', 'Hustle', 'Insomnia']",1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1,Delivery Pokemon,ice,flying,0.9,16,50,0,2
226,,Mantine,85,40,70,80,140,70,"['Swift Swim', 'Water Absorb', 'Water Veil']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,Kite Pokemon,water,flying,2.1,220,50,0,2
227,,Skarmory,65,80,140,40,70,70,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5,Armor Bird Pokemon,steel,flying,1.7,50.5,50,0,2
228,,Houndour,45,60,30,80,50,65,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,Dark Pokemon,dark,fire,0.6,10.8,50,0,2
229,,Houndoom,75,90,50,110,80,95,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,Dark Pokemon,dark,fire,1.4,35,50,0,2
229,mega,Houndoom,75,90,90,140,90,115,['Solar Power'],1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1,Dark Pokemon,dark,fire,1.9,49.5,50,0,6
230,,Kingdra,75,95,95,95,95,85,"['Swift Swim', 'Sniper', 'Damp']",1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2,Dragon Pokemon,water,dragon,1.8,152,50,0,2
231,,Phanpy,90,60,60,40,40,40,"['Pickup', 'Sand Veil']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Long Nose Pokemon,ground,,0.5,33.5,50,0,2
232,,Donphan,90,120,120,60,60,50,"['Sturdy', 'Sand Veil']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Armor Pokemon,ground,,1.1,120,50,0,2
233,,Porygon2,85,80,90,105,95,60,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Virtual Pokemon,normal,,0.6,32.5,,0,2
234,,Stantler,73,95,62,85,65,85,"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Big Horn Pokemon,normal,,1.4,71.2,50,0,2
235,,Smeargle,55,20,35,20,45,75,"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Painter Pokemon,normal,,1.2,58,50,0,2
236,,Tyrogue,35,35,35,35,35,35,"['Guts', 'Steadfast', 'Vital Spirit']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Scuffle Pokemon,fighting,,0.7,21,100,0,2
237,,Hitmontop,50,95,95,35,110,70,"['Intimidate', 'Technician', 'Steadfast']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Handstand Pokemon,fighting,,1.4,48,100,0,2
238,,Smoochum,45,30,15,85,65,65,"['Oblivious', 'Forewarn', 'Hydration']",1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1,Kiss Pokemon,ice,psychic,0.4,6,0,0,2
239,,Elekid,45,63,37,65,55,95,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Electric Pokemon,electric,,0.6,23.5,75.4,0,2
240,,Magby,45,75,37,70,55,83,"['Flame Body', 'Vital Spirit']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Live Coal Pokemon,fire,,0.7,21.4,75.4,0,2
241,,Miltank,95,80,105,40,70,100,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Milk Cow Pokemon,normal,,1.2,75.5,0,0,2
242,,Blissey,255,10,10,75,135,55,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Happiness Pokemon,normal,,1.5,46.8,0,0,2
243,,Raikou,90,85,75,115,100,115,"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Thunder Pokemon,electric,,1.9,178,,1,2
244,,Entei,115,115,85,90,75,100,"['Pressure', 'Inner Focus']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Volcano Pokemon,fire,,2.1,198,,1,2
245,,Suicune,100,75,115,90,115,85,"['Pressure', 'Inner Focus']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Aurora Pokemon,water,,2,187,,1,2
246,,Larvitar,50,64,50,45,50,41,"['Guts', 'Sand Veil']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Rock Skin Pokemon,rock,ground,0.6,72,50,0,2
247,,Pupitar,70,84,70,65,70,51,['Shed Skin'],0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Hard Shell Pokemon,rock,ground,1.2,152,50,0,2
248,,Tyranitar,100,134,110,95,100,61,"['Sand Stream', 'Unnerve']",0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,Armor Pokemon,rock,dark,2,202,50,0,2
248,mega,Tyranitar,100,164,150,95,120,71,['Sand Stream'],0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2,Armor Pokemon,rock,dark,2.5,255,50,0,6
249,,Lugia,106,90,130,90,154,110,"['Pressure', 'Multiscale']",1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,Diving Pokemon,psychic,flying,5.2,216,,1,2
250,,Ho-Oh,106,130,90,110,154,90,"['Pressure', 'Regenerator']",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,Rainbow Pokemon,fire,flying,3.8,199,,1,2
251,,Celebi,100,100,100,100,100,100,['Natural Cure'],1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,Time Travel Pokemon,psychic,grass,0.6,5,,1,2
252,,Treecko,40,45,35,65,55,70,"['Overgrow', 'Unburden']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Wood Gecko Pokemon,grass,,0.5,5,88.1,0,3
253,,Grovyle,50,65,45,85,65,95,"['Overgrow', 'Unburden']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Wood Gecko Pokemon,grass,,0.9,21.6,88.1,0,3
254,,Sceptile,70,85,65,105,85,120,"['Overgrow', 'Unburden']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Forest Pokemon,grass,,1.7,52.2,88.1,0,3
254,mega,Sceptile,70,110,75,145,85,145,['Lightningrod'],1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2,Forest Pokemon,grass,dragon,1.9,55.2,88.1,0,6
255,,Torchic,45,60,40,70,50,45,"['Blaze', 'Speed Boost']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Chick Pokemon,fire,,0.4,2.5,88.1,0,3
256,,Combusken,60,85,60,85,60,55,"['Blaze', 'Speed Boost']",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,Young Fowl Pokemon,fire,fighting,0.9,19.5,88.1,0,3
257,,Blaziken,80,120,70,110,70,80,"['Blaze', 'Speed Boost']",1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,Blaze Pokemon,fire,fighting,1.9,52,88.1,0,3
257,mega,Blaziken,80,160,80,130,80,100,['Speed Boost'],1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1,Blaze Pokemon,fire,fighting,1.9,52,88.1,0,6
258,,Mudkip,50,70,50,50,50,40,"['Torrent', 'Damp']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Mud Fish Pokemon,water,,0.4,7.6,88.1,0,3
259,,Marshtomp,70,85,70,60,70,50,"['Torrent', 'Damp']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,Mud Fish Pokemon,water,ground,0.7,28,88.1,0,3
260,,Swampert,100,110,90,85,90,60,"['Torrent', 'Damp']",1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,Mud Fish Pokemon,water,ground,1.5,81.9,88.1,0,3
260,mega,Swampert,100,150,110,95,110,70,['Swift Swim'],1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,Mud Fish Pokemon,water,ground,1.9,102,88.1,0,6
261,,Poochyena,35,55,35,30,30,35,"['Run Away', 'Quick Feet', 'Rattled']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,Bite Pokemon,dark,,0.5,13.6,50,0,3
262,,Mightyena,70,90,70,60,60,70,"['Intimidate', 'Quick Feet', 'Moxie']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,Bite Pokemon,dark,,1,37,50,0,3
263,,Zigzagoon,38,30,41,30,41,60,"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Tiny Racoon Pokemon,normal,,0.4,17.5,50,0,3
264,,Linoone,78,70,61,50,61,100,"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Rush Pokemon,normal,,0.5,32.5,50,0,3
265,,Wurmple,45,45,35,20,30,20,"['Shield Dust', 'Run Away']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Worm Pokemon,bug,,0.3,3.6,50,0,3
266,,Silcoon,50,35,55,25,25,15,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Cocoon Pokemon,bug,,0.6,10,50,0,3
267,,Beautifly,60,70,50,100,50,65,"['Swarm', 'Rivalry']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Butterfly Pokemon,bug,flying,1,28.4,50,0,3
268,,Cascoon,50,35,55,25,25,15,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Cocoon Pokemon,bug,,0.7,11.5,50,0,3
269,,Dustox,60,50,70,50,90,65,"['Shield Dust', 'Compoundeyes']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Poison Moth Pokemon,bug,poison,1.2,31.6,50,0,3
270,,Lotad,40,30,30,40,50,30,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,Water Weed Pokemon,water,grass,0.5,2.6,50,0,3
271,,Lombre,60,50,50,60,70,50,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,Jolly Pokemon,water,grass,1.2,32.5,50,0,3
272,,Ludicolo,80,70,70,90,100,70,"['Swift Swim', 'Rain Dish', 'Own Tempo']",1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1,Carefree Pokemon,water,grass,1.5,55,50,0,3
273,,Seedot,40,40,50,30,30,30,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Acorn Pokemon,grass,,0.5,4,50,0,3
274,,Nuzleaf,70,70,40,60,40,60,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,Wily Pokemon,grass,dark,1,28,50,0,3
275,,Shiftry,90,100,60,90,60,80,"['Chlorophyll', 'Early Bird', 'Pickpocket']",1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2,Wickid Pokemon,grass,dark,1.3,59.6,50,0,3
276,,Taillow,40,55,30,30,30,85,"['Guts', 'Scrappy']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,TinySwallow Pokemon,normal,flying,0.3,2.3,50,0,3
277,,Swellow,60,85,60,75,50,125,"['Guts', 'Scrappy']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Swallow Pokemon,normal,flying,0.7,19.8,50,0,3
278,,Wingull,40,30,30,55,30,85,"['Keen Eye', 'Hydration', 'Rain Dish']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,Seagull Pokemon,water,flying,0.6,9.5,50,0,3
279,,Pelipper,60,50,100,95,70,65,"['Keen Eye', 'Drizzle', 'Rain Dish']",1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1,Water Bird Pokemon,water,flying,1.2,28,50,0,3
280,,Ralts,28,25,25,45,35,40,"['Synchronize', 'Trace', 'Telepathy']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,Feeling Pokemon,psychic,fairy,0.4,6.6,50,0,3
281,,Kirlia,38,35,35,65,55,50,"['Synchronize', 'Trace', 'Telepathy']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,Emotion Pokemon,psychic,fairy,0.8,20.2,50,0,3
282,,Gardevoir,68,65,65,125,115,80,"['Synchronize', 'Trace', 'Telepathy']",1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,Embrace Pokemon,psychic,fairy,1.6,48.4,50,0,3
282,mega,Gardevoir,68,85,65,165,135,100,['Pixilate'],1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1,Embrace Pokemon,psychic,fairy,1.6,48.4,50,0,6
283,,Surskit,40,30,32,50,52,65,"['Swift Swim', 'Rain Dish']",1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1,Pond Skater Pokemon,bug,water,0.5,1.7,50,0,3
284,,Masquerain,70,60,62,100,82,80,"['Intimidate', 'Unnerve']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Eyeball Pokemon,bug,flying,0.8,3.6,50,0,3
285,,Shroomish,60,40,60,40,60,35,"['Effect Spore', 'Poison Heal', 'Quick Feet']",1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,Mushroom Pokemon,grass,,0.4,4.5,50,0,3
286,,Breloom,60,130,80,60,60,70,"['Effect Spore', 'Poison Heal', 'Technician']",1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2,Mushroom Pokemon,grass,fighting,1.2,39.2,50,0,3
287,,Slakoth,60,60,60,35,35,30,['Truant'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Slacker Pokemon,normal,,0.8,24,50,0,3
288,,Vigoroth,80,80,80,55,55,90,['Vital Spirit'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Wild Monkey Pokemon,normal,,1.4,46.5,50,0,3
289,,Slaking,150,160,100,95,65,100,['Truant'],1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Lazy Pokemon,normal,,2,130.5,50,0,3
290,,Nincada,31,45,90,30,30,40,"['Compoundeyes', 'Run Away']",1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,Trainee Pokemon,bug,ground,0.5,5.5,50,0,3
291,,Ninjask,61,90,45,50,50,160,"['Speed Boost', 'Infiltrator']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Ninja Pokemon,bug,flying,0.8,12,50,0,3
292,,Shedinja,1,90,45,30,30,40,['Wonder Guard'],0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,1,Shed Pokemon,bug,ghost,0.8,1.2,,0,3
293,,Whismur,64,51,23,51,23,28,"['Soundproof', 'Rattled']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Whisper Pokemon,normal,,0.6,16.3,50,0,3
294,,Loudred,84,71,43,71,43,48,"['Soundproof', 'Scrappy']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Big Voice Pokemon,normal,,1,40.5,50,0,3
295,,Exploud,104,91,63,91,73,68,"['Soundproof', 'Scrappy']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Loud Noise Pokemon,normal,,1.5,84,50,0,3
296,,Makuhita,72,60,30,20,30,25,"['Thick Fat', 'Guts', 'Sheer Force']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Guts Pokemon,fighting,,1,86.4,75.4,0,3
297,,Hariyama,144,120,60,40,60,50,"['Thick Fat', 'Guts', 'Sheer Force']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Arm Thrust Pokemon,fighting,,2.3,253.8,75.4,0,3
298,,Azurill,50,20,40,20,40,20,"['Thick Fat', 'Huge Power', 'Sap Sipper']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,Polka Dot Pokemon,normal,fairy,0.2,2,24.6,0,3
299,,Nosepass,30,45,135,45,90,30,"['Sturdy', 'Magnet Pull', 'Sand Force']",0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,Compass Pokemon,rock,,1,97,50,0,3
300,,Skitty,50,45,45,35,35,50,"['Cute Charm', 'Normalize', 'Wonder Skin ']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Kitten Pokemon,normal,,0.6,11,24.6,0,3
301,,Delcatty,70,65,65,55,55,90,"['Cute Charm', 'Normalize', 'Wonder Skin ']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Prim Pokemon,normal,,1.1,32.6,24.6,0,3
302,,Sableye,50,75,75,65,65,50,"['Keen Eye', 'Stall', 'Prankster']",0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,Darkness Pokemon,dark,ghost,0.5,11,50,0,3
302,mega,Sableye,50,85,125,85,115,20,['Magic Bounce'],0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2,Darkness Pokemon,dark,ghost,0.5,161,50,0,6
303,,Mawile,50,85,85,55,55,50,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,Deceiver Pokemon,steel,fairy,0.6,11.5,50,0,3
303,mega,Mawile,50,105,125,55,95,50,['Huge Power'],0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.5,0.25,0.5,1,0,0.5,1,0.5,Deceiver Pokemon,steel,fairy,1,23.5,50,0,6
304,,Aron,50,70,100,40,40,30,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,Iron Armor Pokemon,steel,rock,0.4,60,50,0,3
305,,Lairon,60,90,140,50,50,40,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,Iron Armor Pokemon,steel,rock,0.9,120,50,0,3
306,,Aggron,70,110,180,60,60,50,"['Sturdy', 'Rock Head', 'Heavy Metal']",0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5,Iron Armor Pokemon,steel,rock,2.1,360,50,0,3
306,mega,Aggron,70,140,230,60,80,50,['Filter'],0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,Iron Armor Pokemon,steel,,2.2,395,50,0,6
307,,Meditite,30,40,55,40,55,60,"['Pure Power', 'Telepathy']",1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,Meditate Pokemon,fighting,psychic,0.6,11.2,50,0,3
308,,Medicham,60,60,75,60,75,80,"['Pure Power', 'Telepathy']",1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,Meditate Pokemon,fighting,psychic,1.3,31.5,50,0,3
308,mega,Medicham,60,100,85,80,85,100,['Pure Power'],1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2,Meditate Pokemon,fighting,psychic,1.3,31.5,50,0,6
309,,Electrike,40,45,40,65,40,65,"['Static', 'Lightningrod', 'Minus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Lightning Pokemon,electric,,0.6,15.2,50,0,3
310,,Manectric,70,75,60,105,60,105,"['Static', 'Lightningrod', 'Minus']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Discharge Pokemon,electric,,1.5,40.2,50,0,3
310,mega,Manectric,70,75,80,135,80,135,['Intimidate'],1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Discharge Pokemon,electric,,1.8,44,50,0,6
311,,Plusle,60,50,40,85,75,95,"['Plus', 'Lightningrod']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Cheering Pokemon,electric,,0.4,4.2,50,0,3
312,,Minun,60,40,50,75,85,95,"['Minus', 'Volt Absorb']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Cheering Pokemon,electric,,0.4,4.2,50,0,3
